page_id,title,revision_id,article_quality_prediction,country,population,region
27428272.0,Abdul Baqi Turkistani,1231655023.0,Stub,Afghanistan,42.4,SOUTH ASIA
29443640.0,Abdul Ghani Ghani,1227026187.0,Stub,Afghanistan,42.4,SOUTH ASIA
44482763.0,Abdul Rahim Ayoubi,1226326055.0,Start,Afghanistan,42.4,SOUTH ASIA
52438668.0,Aimal Faizi,1185105938.0,Stub,Afghanistan,42.4,SOUTH ASIA
12084570.0,Amir Muhammad Akhundzada,1247931713.0,Start,Afghanistan,42.4,SOUTH ASIA
47805901.0,Aziza Ahmadyar,1195651393.0,Start,Afghanistan,42.4,SOUTH ASIA
27663861.0,Bashir Ahmad Bezan,1248505877.0,Start,Afghanistan,42.4,SOUTH ASIA
24963809.0,Cheragh Ali Cheragh,1193992206.0,Start,Afghanistan,42.4,SOUTH ASIA
15842120.0,Ezatullah (Nangarhar),1158302291.0,Stub,Afghanistan,42.4,SOUTH ASIA
72903967.0,Gajinder Singh Safri,1212323536.0,Stub,Afghanistan,42.4,SOUTH ASIA
68918472.0,Ghulam Ghaus,1158659195.0,Stub,Afghanistan,42.4,SOUTH ASIA
25630787.0,Ghulam Muhammad Ghobar,1240993642.0,Stub,Afghanistan,42.4,SOUTH ASIA
5294659.0,Hafizullah Shabaz Khail,1238402857.0,Start,Afghanistan,42.4,SOUTH ASIA
11966231.0,Haroon al-Afghani,1230459615.0,B,Afghanistan,42.4,SOUTH ASIA
13368923.0,Hashmat Ghani Ahmadzai,1207743719.0,C,Afghanistan,42.4,SOUTH ASIA
25153929.0,Ismael Balkhi,1244521219.0,Start,Afghanistan,42.4,SOUTH ASIA
10305348.0,Jan Baz,1227635806.0,Stub,Afghanistan,42.4,SOUTH ASIA
71600382.0,Khadija Zahra Ahmadi,1234741562.0,Stub,Afghanistan,42.4,SOUTH ASIA
35512380.0,Mahboba Hoqomal,1243745950.0,Stub,Afghanistan,42.4,SOUTH ASIA
10483286.0,Majah Ha Adrif,1233202991.0,Start,Afghanistan,42.4,SOUTH ASIA
3056711.0,Masoud Khalili,1246566971.0,GA,Afghanistan,42.4,SOUTH ASIA
39258771.0,Mirza Muhammad Ismail,1235165845.0,C,Afghanistan,42.4,SOUTH ASIA
40960242.0,Mohammad Ghous Bashiri,1237694188.0,Start,Afghanistan,42.4,SOUTH ASIA
26027316.0,Mohammad Gul (Helmand Council),1136611354.0,Stub,Afghanistan,42.4,SOUTH ASIA
27664854.0,Mohammad Sarwar Ahmedzai,1176429234.0,Start,Afghanistan,42.4,SOUTH ASIA
14454477.0,Mohammad Siddiq Chakari,1134129082.0,Stub,Afghanistan,42.4,SOUTH ASIA
26835722.0,Muhammad Hashim Esmatullahi,949986748.0,Stub,Afghanistan,42.4,SOUTH ASIA
70019038.0,Muqadasa Ahmadzai,1235521766.0,Start,Afghanistan,42.4,SOUTH ASIA
8575012.0,Musa Hotak,1246566804.0,Start,Afghanistan,42.4,SOUTH ASIA
59378987.0,Nasir Ahmad Durrani,988838315.0,Stub,Afghanistan,42.4,SOUTH ASIA
