page_id,title,revision_id,page_length,article_quality_prediction
27428272,Abdul Baqi Turkistani,1231655023,1357,Stub
29443640,Abdul Ghani Ghani,1227026187,1292,Stub
44482763,Abdul Rahim Ayoubi,1226326055,7313,Start
52438668,Aimal Faizi,1185105938,2791,Stub
12084570,Amir Muhammad Akhundzada,1247931713,8865,Start
47805901,Aziza Ahmadyar,1195651393,3790,Start
27663861,Bashir Ahmad Bezan,1248505877,2298,Start
24963809,Cheragh Ali Cheragh,1193992206,5351,Start
15842120,Ezatullah (Nangarhar),1158302291,1302,Stub
72903967,Gajinder Singh Safri,1212323536,1901,Stub
68918472,Ghulam Ghaus,1158659195,1450,Stub
25630787,Ghulam Muhammad Ghobar,1240993642,3731,Stub
5294659,Hafizullah Shabaz Khail,1238402857,7544,Start
11966231,Haroon al-Afghani,1230459615,17027,B
13368923,Hashmat Ghani Ahmadzai,1207743719,8585,C
25153929,Ismael Balkhi,1244521219,6810,Start
10305348,Jan Baz,1227635806,1776,Stub
71600382,Khadija Zahra Ahmadi,1234741562,2569,Stub
35512380,Mahboba Hoqomal,1243745950,3137,Stub
10483286,Majah Ha Adrif,1233202991,3188,Start
3056711,Masoud Khalili,1246566971,23129,GA
39258771,Mirza Muhammad Ismail,1235165845,10878,C
40960242,Mohammad Ghous Bashiri,1237694188,2720,Start
26027316,Mohammad Gul (Helmand Council),1136611354,1291,Stub
27664854,Mohammad Sarwar Ahmedzai,1176429234,4420,Start
14454477,Mohammad Siddiq Chakari,1134129082,1808,Stub
26835722,Muhammad Hashim Esmatullahi,949986748,2254,Stub
70019038,Muqadasa Ahmadzai,1235521766,3796,Start
8575012,Musa Hotak,1246566804,3007,Start
59378987,Nasir Ahmad Durrani,988838315,2435,Stub
22588409,Nasrullah Baryalai Arsalai,1225385278,7127,Start
41835910,Qutbuddin Hilal,1246566795,3403,Start
16351100,Rafiullah Bidar,1197443408,3439,Stub
68487239,Rangina Hamidi,1234743111,12718,C
6392185,Said Tayeb Jawad,1248976824,29048,C
21500352,Sayed Jalal,1137130537,2913,Start
27668571,Sayed Jalal Karim,1136614743,4009,Start
72051141,Sayed Yousuf Halim,1234514565,4686,Stub
52438868,Sayed Zafar Hashemi,1179137138,3053,Start
8054084,Sharif Ghalib,1245967190,10292,Start
46841383,Tayyab Agha,1225661708,6346,Start
69128654,Abdul Karim Misaq,1235405154,2938,Stub
27678731,Abdul Majid Samim,1225425205,3823,Stub
627316,Abdul Salam Zaeef,1243758857,25071,GA
68481190,Abdul Sattar Mirzakwal,1145249317,2014,Stub
24671281,Abdul Zahir (Konar Education Minister),1126667481,869,Stub
34682634,Ahmad Wali Massoud,1221720658,3529,Start
68624823,Ahmadullah Wasiq,1171042170,5247,Start
35520084,Ali Mohammad (politician),1136630194,2393,Stub
24850187,Azizullah Lodin,1247762293,3067,Start
38515087,Baktash Siawash,1250972393,1302,Stub
23672202,Baran Khan Kudezai,1176481824,3759,Start
66087536,Daoud Naji,1247131367,5429,Start
41428570,Davood Moradian,1239319380,2260,Stub
2202177,Fazal Hadi Shinwari,1242412237,15076,GA
273143,Fazel Ahmed Manawi,1234514379,2608,Start
2333651,Gholam Rabani Nasher,1136534788,2427,Stub
27669652,Ghulam Faroq Nijrabi,1136614778,1741,Stub
25634863,Ghulam Hassan Safi,1176507815,1688,Stub
27657851,Ghulam Mohammad Rigi,1129192917,1535,Stub
27656776,Gul Ahmmad Yama,1136614561,3324,Start
36473152,Hanifa Safi,1123824802,1885,Stub
27666240,Hasan Ali Sultani,1136614726,1975,Stub
64024293,Moeen Marastial,1246567093,7932,Start
24781312,Mohammad Daud Miraki,1227103354,6691,C
23564221,Mohammad Hashem Taufiqui,1233490009,3605,Start
45419022,Mohammad Khan (athlete),1247727443,1245,Stub
212331,Mohammed Qalamuddin,1178097642,968,Stub
29170618,Mohammed Tahir Omar,1185088733,2574,Stub
4928280,Mohammed Zaman,1229734414,5722,Start
28566318,Mohammed Zia Salehi,1225457074,1962,Stub
35507800,Nasruddin Mohseni,1136630129,3654,Start
47145503,Pacha Gul Wafadar,1227179979,2985,Stub
17013397,Razaq Mamoon,1227180106,4078,Start
51559994,Saber Sangar,1227951669,1676,Stub
7493859,Samoud Khan,1195409073,4068,Start
41840150,Sardar Mohammad Nadir Naeem,1204109653,2068,Stub
34845573,Sayed Nasim Mihanparast,1172646418,1711,Stub
68232272,Suhail Shaheen,1198363158,6532,Start
52202939,Wahidullah Waissi,1232389768,33842,C
